,batch_losses
0,0.6866695880889893
1,1.5309574604034424
2,2.946272850036621
3,0.8476346135139465
4,0.6936864852905273
5,0.666465163230896
6,0.647845983505249
7,0.6385966539382935
8,0.7517935037612915
9,0.7087181210517883
10,0.713789701461792
11,0.686840832233429
12,0.6662297248840332
13,0.6067609786987305
14,0.6227385997772217
15,0.6290220022201538
16,0.5120093822479248
17,0.5483251810073853
18,0.550412654876709
19,0.5211150050163269
20,0.5446780323982239
21,0.54224693775177
22,0.5618122816085815
23,0.5636220574378967
24,0.5616146922111511
25,0.5467751026153564
26,0.5021016597747803
27,0.5101295709609985
28,0.5334277749061584
29,0.4943397641181946
30,0.5741916298866272
31,0.4856099486351013
32,0.5199084281921387
33,0.5436850786209106
34,0.5199718475341797
35,0.4758589267730713
36,0.47236719727516174
37,0.5282629132270813
38,0.5230486392974854
39,0.5284296274185181
40,0.5395647287368774
41,0.5064582228660583
42,0.5103132128715515
43,0.5088684558868408
44,0.5221568942070007
45,0.517539381980896
46,0.5086359977722168
47,0.44824573397636414
48,0.5315271615982056
49,0.5520849823951721
50,0.5215674042701721
51,0.4973398745059967
52,0.5572335720062256
53,0.5280706286430359
54,0.5601291656494141
55,0.5398128032684326
56,0.5250350832939148
57,0.5258046388626099
58,0.5962821245193481
59,0.5341138243675232
60,0.5004901885986328
61,0.4834098815917969
62,0.5320708751678467
63,0.5403097867965698
64,0.5443372130393982
65,0.5032521486282349
66,0.5727455615997314
67,0.5277137160301208
68,0.5122148990631104
69,0.5478520393371582
70,0.49788808822631836
71,0.45341813564300537
72,0.5284924507141113
73,0.5461326241493225
74,0.5215207934379578
75,0.5181896090507507
76,0.5504636764526367
77,0.5135315656661987
78,0.5800193548202515
79,0.5325652956962585
80,0.4593207836151123
81,0.5197672247886658
82,0.5254323482513428
83,0.46644604206085205
84,0.537437379360199
85,0.4876607060432434
86,0.5325020551681519
87,0.4946052134037018
88,0.5352059602737427
89,0.5542217493057251
90,0.5077098608016968
91,0.5177923440933228
92,0.5183655619621277
93,0.5135400295257568
94,0.4909111559391022
95,0.47974610328674316
96,0.5321587920188904
97,0.5007126331329346
98,0.5422627925872803
99,0.5405210852622986
100,0.49320900440216064
101,0.5157178640365601
102,0.4947119951248169
103,0.5076938271522522
104,0.5550147294998169
105,0.5354543924331665
106,0.49665749073028564
107,0.5110132694244385
108,0.4984232187271118
109,0.5275781750679016
110,0.520053505897522
111,0.5238531231880188
112,0.5527651309967041
113,0.4911078214645386
114,0.5386197566986084
115,0.5397487878799438
116,0.5259376764297485
117,0.5210444331169128
118,0.529403805732727
119,0.5180982351303101
120,0.524662971496582
121,0.4653717577457428
122,0.5421677231788635
123,0.5229207277297974
124,0.513416051864624
125,0.508537232875824
126,0.49109458923339844
127,0.49746260046958923
128,0.5013751983642578
129,0.5676244497299194
130,0.5335962772369385
131,0.5068591833114624
132,0.49311086535453796
133,0.47914260625839233
134,0.505450963973999
135,0.4874539375305176
136,0.4942186772823334
137,0.4886186122894287
138,0.4994458556175232
139,0.5470967888832092
140,0.49334514141082764
141,0.48910990357398987
142,0.43233203887939453
143,0.49059826135635376
144,0.47871536016464233
145,0.5129474401473999
146,0.5322409272193909
147,0.5066012144088745
148,0.5248469114303589
149,0.5163750648498535
150,0.5046221017837524
151,0.5256779193878174
152,0.47885212302207947
153,0.5344988107681274
154,0.525293231010437
155,0.5159744024276733
156,0.5057157278060913
157,0.5000675320625305
158,0.49477440118789673
159,0.49412772059440613
160,0.5265148878097534
161,0.5126515626907349
162,0.48024678230285645
163,0.5605663061141968
164,0.5443087816238403
165,0.4710158705711365
166,0.5304385423660278
167,0.5086478590965271
168,0.4618339538574219
169,0.5333086252212524
170,0.5195607542991638
171,0.5020015835762024
172,0.5076061487197876
173,0.5105115175247192
174,0.47229012846946716
175,0.4785558581352234
176,0.5223042964935303
177,0.523737907409668
178,0.5273795127868652
179,0.5051815509796143
180,0.5291658639907837
181,0.5172960758209229
182,0.4435900151729584
183,0.5254955887794495
184,0.5228683948516846
185,0.4921942949295044
186,0.49868807196617126
187,0.5156219601631165
188,0.517493486404419
189,0.5293503999710083
190,0.42856746912002563
191,0.5045987367630005
192,0.5558207035064697
193,0.49244681000709534
194,0.49846264719963074
195,0.5454542636871338
196,0.4895734488964081
197,0.513055145740509
198,0.5366997718811035
199,0.515034019947052
