,batch_losses
0,0.6931490898132324
1,0.6909257173538208
2,0.6787616014480591
3,0.6400469541549683
4,0.5710514187812805
5,0.5585240125656128
6,0.615588903427124
7,0.568791925907135
8,0.6177561283111572
9,0.5616146326065063
10,0.5269908308982849
11,0.570315957069397
12,0.5864986181259155
13,0.5764931440353394
14,0.5243332982063293
15,0.5356284976005554
16,0.5755860805511475
17,0.5298693180084229
18,0.6513344049453735
19,0.564972996711731
20,0.5351790189743042
21,0.5252214074134827
22,0.5385298132896423
23,0.5830614566802979
24,0.5063530206680298
25,0.5617519617080688
26,0.5824452042579651
27,0.5101284980773926
28,0.5656284093856812
29,0.5589506030082703
30,0.5065127611160278
31,0.48624104261398315
32,0.6032876968383789
33,0.5505580306053162
34,0.5582883358001709
35,0.547366738319397
36,0.5596499443054199
37,0.5306199789047241
38,0.5927007794380188
39,0.5550023913383484
40,0.555029034614563
41,0.547883927822113
42,0.5751961469650269
43,0.5247916579246521
44,0.5941905379295349
45,0.5512595176696777
46,0.5752637386322021
47,0.5048583745956421
48,0.5238093137741089
49,0.5463310480117798
50,0.5312262773513794
51,0.5265094041824341
52,0.534680962562561
53,0.5348013043403625
54,0.6261829733848572
55,0.5932307243347168
56,0.5173228979110718
57,0.5657014846801758
58,0.642059326171875
59,0.5601421594619751
60,0.5555405616760254
61,0.530707597732544
62,0.5117905139923096
63,0.5119614601135254
64,0.5095111727714539
65,0.5733242034912109
66,0.5189832448959351
67,0.5519341230392456
68,0.5460038781166077
69,0.5453996658325195
70,0.4789336025714874
71,0.5196800231933594
72,0.6019781827926636
73,0.560049295425415
74,0.48171159625053406
75,0.5641968846321106
76,0.53563392162323
77,0.5032650232315063
78,0.514082133769989
79,0.5651661157608032
80,0.5826682448387146
81,0.5772800445556641
82,0.4810323715209961
83,0.6450377106666565
84,0.562206506729126
85,0.5387760996818542
86,0.567486584186554
87,0.5341113805770874
88,0.5846814513206482
89,0.5275368690490723
90,0.5897716879844666
91,0.5364804267883301
92,0.5382162928581238
93,0.5775792598724365
94,0.557490348815918
95,0.551433801651001
96,0.565301239490509
97,0.5339756608009338
98,0.5555510520935059
99,0.5541619062423706
100,0.5601857900619507
101,0.49617433547973633
102,0.5657291412353516
103,0.5742254257202148
104,0.5347689986228943
105,0.504056990146637
106,0.589881420135498
107,0.5575118064880371
108,0.4980701804161072
109,0.5575886964797974
110,0.6223586797714233
111,0.5500166416168213
112,0.5424855947494507
113,0.5158401727676392
114,0.5534728169441223
115,0.5347071290016174
116,0.4889501929283142
117,0.5504303574562073
118,0.5826079845428467
119,0.5437758564949036
120,0.5785559415817261
121,0.5288829207420349
122,0.5844956040382385
123,0.5212495923042297
124,0.5214220881462097
125,0.5363112688064575
126,0.5541084408760071
127,0.662787675857544
128,0.5679751634597778
129,0.5116401314735413
130,0.543975830078125
131,0.5233943462371826
132,0.5332213044166565
133,0.5142085552215576
134,0.5917254686355591
135,0.5479962825775146
136,0.5734775066375732
137,0.5774483680725098
138,0.5711576342582703
139,0.523146390914917
140,0.5512950420379639
141,0.5300596356391907
142,0.5495643615722656
143,0.5949831008911133
144,0.5721031427383423
145,0.5754871368408203
146,0.556896448135376
147,0.5608636140823364
148,0.5739291906356812
149,0.5567299127578735
150,0.5361400842666626
151,0.4703187048435211
152,0.5535010099411011
153,0.5568387508392334
154,0.5460531115531921
155,0.5778490304946899
156,0.589985728263855
157,0.5029246211051941
158,0.5624896883964539
159,0.5655406713485718
160,0.6331720948219299
161,0.5787290334701538
162,0.5714528560638428
163,0.5221319794654846
164,0.4986831843852997
165,0.5186336040496826
166,0.5144497752189636
167,0.5674430131912231
168,0.536216139793396
169,0.5422870516777039
170,0.4870328903198242
171,0.5136823654174805
172,0.5201998949050903
173,0.6161656975746155
174,0.559616208076477
175,0.537331759929657
176,0.5246725082397461
177,0.5219793319702148
178,0.5157812237739563
179,0.586799144744873
180,0.5741410255432129
181,0.5796080231666565
182,0.5327410697937012
183,0.5800548791885376
184,0.591779351234436
185,0.5615863800048828
186,0.48440107703208923
187,0.48425978422164917
188,0.5351604223251343
189,0.6414421200752258
190,0.5795672535896301
191,0.5107170939445496
192,0.6250109672546387
193,0.5905548930168152
194,0.5335641503334045
195,0.530279278755188
196,0.48370805382728577
197,0.5311782360076904
198,0.5393143892288208
199,0.5869987607002258
200,0.5287320017814636
201,0.6054520606994629
202,0.5652531981468201
203,0.5427173376083374
204,0.5991075038909912
205,0.5516206622123718
206,0.6250225305557251
207,0.5653541088104248
208,0.5306192636489868
209,0.5751292705535889
210,0.5018093585968018
211,0.5488831400871277
212,0.5630182027816772
213,0.5665881633758545
214,0.5373167991638184
215,0.5670766830444336
216,0.5663726329803467
217,0.5264239311218262
218,0.6034908890724182
219,0.5065033435821533
220,0.620915412902832
221,0.543208122253418
222,0.5780907869338989
223,0.522472620010376
224,0.5701724290847778
225,0.568770170211792
226,0.5566566586494446
227,0.5258584022521973
228,0.5694906711578369
229,0.5892560482025146
230,0.553613007068634
231,0.5225526094436646
232,0.5808076858520508
233,0.5488075017929077
234,0.5786021947860718
235,0.5639839172363281
236,0.5500639081001282
237,0.5266481637954712
238,0.5600488185882568
239,0.5603213310241699
240,0.5557249188423157
241,0.5312374830245972
242,0.5141953229904175
243,0.450768381357193
244,0.5297574996948242
245,0.5851290225982666
246,0.5598903894424438
247,0.5626345872879028
248,0.5290608406066895
249,0.5329282283782959
250,0.6000072956085205
251,0.5283834934234619
252,0.590063750743866
253,0.5834916830062866
254,0.5617589950561523
255,0.538843035697937
256,0.6055075526237488
257,0.5609418153762817
258,0.5589046478271484
259,0.5872615575790405
260,0.5651029348373413
261,0.5408784747123718
262,0.49433451890945435
263,0.554023265838623
264,0.5798352360725403
265,0.5180655121803284
266,0.5032063722610474
267,0.5409290790557861
268,0.5510749816894531
269,0.5353586077690125
270,0.6110352277755737
271,0.5584469437599182
272,0.5723063945770264
273,0.5266355276107788
274,0.5279329419136047
275,0.5233142375946045
276,0.60799241065979
277,0.5655868053436279
278,0.5395382642745972
279,0.4995858073234558
280,0.5364245176315308
281,0.6124551296234131
282,0.5622336864471436
283,0.5935447216033936
284,0.5155881643295288
285,0.6482292413711548
286,0.54683518409729
287,0.5630845427513123
288,0.5288633704185486
289,0.5453925132751465
290,0.5802494287490845
291,0.5535869598388672
292,0.44857847690582275
293,0.5694111585617065
294,0.5925049185752869
295,0.516649603843689
296,0.49934542179107666
297,0.5509012937545776
298,0.5714762210845947
299,0.5596355199813843
300,0.54066401720047
301,0.4910009503364563
302,0.5364539623260498
303,0.5847268104553223
304,0.5423905849456787
305,0.547520637512207
306,0.5824744701385498
307,0.518690824508667
308,0.5437196493148804
309,0.6161097288131714
310,0.54294753074646
311,0.6127476096153259
312,0.5424133539199829
313,0.5756670236587524
314,0.5722931623458862
315,0.6063665747642517
316,0.5411186218261719
317,0.5401017665863037
