,batch_losses
0,0.6949235796928406
1,2.009026527404785
2,0.9516562223434448
3,0.6780287027359009
4,0.6627461314201355
5,0.6244422197341919
6,0.6814468502998352
7,0.6479793787002563
8,0.6418766975402832
9,0.636016845703125
10,0.6438009738922119
11,0.6250603199005127
12,0.6299998760223389
13,0.6227043271064758
14,0.6412525177001953
15,0.6361991763114929
16,0.6205673217773438
17,0.5759299993515015
18,0.6588471531867981
19,0.6130914092063904
20,0.5439767837524414
21,0.6064398288726807
22,0.5927330255508423
23,0.5936765074729919
24,0.5854935646057129
25,0.5563242435455322
26,0.5365156531333923
27,0.4968646168708801
28,0.562671422958374
29,0.5700706839561462
30,0.5555754899978638
31,0.5742922425270081
32,0.5648388862609863
33,0.5637771487236023
34,0.5703543424606323
35,0.5578697323799133
36,0.5961470603942871
37,0.5811691880226135
38,0.5753169059753418
39,0.5668489933013916
40,0.5043376088142395
41,0.6548857688903809
42,0.5920856595039368
43,0.5550926923751831
44,0.5764181613922119
45,0.5625752806663513
46,0.5321062803268433
47,0.5582900047302246
48,0.5593554377555847
49,0.5626417994499207
50,0.5622162818908691
51,0.5870009064674377
52,0.6026168465614319
53,0.5386320352554321
54,0.5643306970596313
55,0.5359009504318237
56,0.5602453947067261
57,0.552566409111023
58,0.5636531114578247
59,0.5577504634857178
60,0.5326052308082581
61,0.5683715343475342
62,0.5852233171463013
63,0.5555392503738403
64,0.5308595299720764
65,0.5308656692504883
66,0.5597155690193176
67,0.5498274564743042
68,0.5650636553764343
69,0.5204927325248718
70,0.5905532836914062
71,0.5499235987663269
72,0.5437629818916321
73,0.5704544186592102
74,0.5477480292320251
75,0.5270813703536987
76,0.5330644845962524
77,0.5390415191650391
78,0.567156195640564
79,0.5421658754348755
80,0.5710384845733643
81,0.5186660289764404
82,0.5145442485809326
83,0.5299611687660217
84,0.5683283805847168
85,0.5305508375167847
86,0.5529907941818237
87,0.5628693103790283
88,0.5423468947410583
89,0.5639593601226807
90,0.5881350636482239
91,0.561198353767395
92,0.5557500720024109
93,0.5434747338294983
94,0.6154553890228271
95,0.5978521108627319
96,0.5265994071960449
97,0.5444505214691162
98,0.5761116743087769
99,0.5433458089828491
100,0.5052469968795776
101,0.6664150357246399
102,0.6131407618522644
103,0.5443682670593262
104,0.5620796084403992
105,0.5952579379081726
106,0.5473657250404358
107,0.5811669826507568
108,0.49905091524124146
109,0.5824437141418457
110,0.5398785471916199
111,0.514456033706665
112,0.5211901664733887
113,0.4993074834346771
114,0.5277093052864075
115,0.5269396901130676
116,0.5386890172958374
117,0.5149125456809998
118,0.5276216864585876
119,0.5155094861984253
120,0.5339547395706177
121,0.5166196823120117
122,0.537861704826355
123,0.5134470462799072
124,0.5462591648101807
125,0.5353889465332031
126,0.5834004282951355
